label,mz,rt_min,rt_max,ppm_tol,neutral_loss_da,nl_ppm_warn,nl_ppm_max,is_istd,istd_pair,isotope_label_type,paired_rt_relation,sample_applicability
5-hmdC,258.1085,8,10,20,116.0474,20,50,FALSE,d3-5-hmdC,,istd_not_later_than_pair,
d3-5-hmdC,261.127276,8,10,20,116.0474,20,50,TRUE,,deuterated,,
5-medC,242.1136,11,13,20,116.0474,20,50,FALSE,d3-5-medC,,istd_not_later_than_pair,
d3-5-medC,245.132362,11,13,20,116.0474,20,50,TRUE,,deuterated,,
N6-HE-dA,296.1354,22,25,20,116.0474,20,50,FALSE,d4-N6-2HE-dA,,istd_not_later_than_pair,
d4-N6-2HE-dA,300.1605,22,25,20,116.0474,20,50,TRUE,,deuterated,,
8-oxodG,284.0989,16,18,20,116.0474,20,50,FALSE,15N5-8-oxodG,,learned_delta_only,
15N5-8-oxodG,289.0841,16,18,20,116.0474,20,50,TRUE,,heavy_non_deuterium,,
8-oxo-Guo,300.0939,13,15,20,132.0423,20,50,FALSE,"[13C,15N2]-8-oxo-Guo",,learned_delta_only,rna_containing
"[13C,15N2]-8-oxo-Guo",303.0913,13,15,20,132.0423,20,50,TRUE,,heavy_non_deuterium,,
N6-medA,266.1248,24,27,20,116.0474,20,50,FALSE,d3-N6-medA,,istd_not_later_than_pair,
d3-N6-medA,269.1436,24,27,20,116.0474,20,50,TRUE,,deuterated,,
dG-C8-MeIQx,479.1898,39.5,41.5,20,116.0474,20,50,FALSE,d3-dG-C8-MeIQx,,istd_not_later_than_pair,
d3-dG-C8-MeIQx,482.208679,39.5,41.5,20,116.0474,20,50,TRUE,,deuterated,,
